code;name;;en_name;de_desc;de_link;en_desc;en_link;de_syn;en_syn
198511;Nov.85;;Nov.85;;;;;;
198512;Dez.85;;Dec.85;;;;;;
198601;Jän.86;;Jan.86;;;;;;
198602;Feb.86;;Feb.86;;;;;;
198603;Mär.86;;Mar.86;;;;;;
198604;Apr.86;;Apr.86;;;;;;
198605;Mai.86;;May 86;;;;;;
198606;Jun.86;;Jun.86;;;;;;
198607;Jul.86;;Jul.86;;;;;;
198608;Aug.86;;Aug.86;;;;;;
198609;Sep.86;;Sep.86;;;;;;
198610;Okt.86;;Oct.86;;;;;;
198611;Nov.86;;Nov.86;;;;;;
198612;Dez.86;;Dec.86;;;;;;
198701;Jän.87;;Jan.87;;;;;;
198702;Feb.87;;Feb.87;;;;;;
198703;Mär.87;;Mar.87;;;;;;
198704;Apr.87;;Apr.87;;;;;;
198705;Mai.87;;May 87;;;;;;
198706;Jun.87;;Jun.87;;;;;;
198707;Jul.87;;Jul.87;;;;;;
198708;Aug.87;;Aug.87;;;;;;
198709;Sep.87;;Sep.87;;;;;;
198710;Okt.87;;Oct.87;;;;;;
198711;Nov.87;;Nov.87;;;;;;
198712;Dez.87;;Dec.87;;;;;;
198801;Jän.88;;Jan.88;;;;;;
198802;Feb.88;;Feb.88;;;;;;
198803;Mär.88;;Mar.88;;;;;;
198804;Apr.88;;Apr.88;;;;;;
198805;Mai.88;;May 88;;;;;;
198806;Jun.88;;Jun.88;;;;;;
198807;Jul.88;;Jul.88;;;;;;
198808;Aug.88;;Aug.88;;;;;;
198809;Sep.88;;Sep.88;;;;;;
198810;Okt.88;;Oct.88;;;;;;
198811;Nov.88;;Nov.88;;;;;;
198812;Dez.88;;Dec.88;;;;;;
198901;Jän.89;;Jan.89;;;;;;
198902;Feb.89;;Feb.89;;;;;;
198903;Mär.89;;Mar.89;;;;;;
198904;Apr.89;;Apr.89;;;;;;
198905;Mai.89;;May 89;;;;;;
198906;Jun.89;;Jun.89;;;;;;
198907;Jul.89;;Jul.89;;;;;;
198908;Aug.89;;Aug.89;;;;;;
198909;Sep.89;;Sep.89;;;;;;
198910;Okt.89;;Oct.89;;;;;;
198911;Nov.89;;Nov.89;;;;;;
198912;Dez.89;;Dec.89;;;;;;
199001;Jän.90;;Jan.90;;;;;;
199002;Feb.90;;Feb.90;;;;;;
199003;Mär.90;;Mar.90;;;;;;
199004;Apr.90;;Apr.90;;;;;;
199005;Mai.90;;May 90;;;;;;
199006;Jun.90;;Jun.90;;;;;;
199007;Jul.90;;Jul.90;;;;;;
199008;Aug.90;;Aug.90;;;;;;
199009;Sep.90;;Sep.90;;;;;;
199010;Okt.90;;Oct.90;;;;;;
199011;Nov.90;;Nov.90;;;;;;
199012;Dez.90;;Dec.90;;;;;;
199101;Jän.91;;Jan.91;;;;;;
199102;Feb.91;;Feb.91;;;;;;
199103;Mär.91;;Mar.91;;;;;;
199104;Apr.91;;Apr.91;;;;;;
199105;Mai.91;;May 91;;;;;;
199106;Jun.91;;Jun.91;;;;;;
199107;Jul.91;;Jul.91;;;;;;
199108;Aug.91;;Aug.91;;;;;;
199109;Sep.91;;Sep.91;;;;;;
199110;Okt.91;;Oct.91;;;;;;
199111;Nov.91;;Nov.91;;;;;;
199112;Dez.91;;Dec.91;;;;;;
199201;Jän.92;;Jan.92;;;;;;
199202;Feb.92;;Feb.92;;;;;;
199203;Mär.92;;Mar.92;;;;;;
199204;Apr.92;;Apr.92;;;;;;
199205;Mai.92;;May 92;;;;;;
199206;Jun.92;;Jun.92;;;;;;
199207;Jul.92;;Jul.92;;;;;;
199208;Aug.92;;Aug.92;;;;;;
199209;Sep.92;;Sep.92;;;;;;
199210;Okt.92;;Oct.92;;;;;;
199211;Nov.92;;Nov.92;;;;;;
199212;Dez.92;;Dec.92;;;;;;
199301;Jän.93;;Jan.93;;;;;;
199302;Feb.93;;Feb.93;;;;;;
199303;Mär.93;;Mar.93;;;;;;
199304;Apr.93;;Apr.93;;;;;;
199305;Mai.93;;May 93;;;;;;
199306;Jun.93;;Jun.93;;;;;;
199307;Jul.93;;Jul.93;;;;;;
199308;Aug.93;;Aug.93;;;;;;
199309;Sep.93;;Sep.93;;;;;;
199310;Okt.93;;Oct.93;;;;;;
199311;Nov.93;;Nov.93;;;;;;
199312;Dez.93;;Dec.93;;;;;;
199401;Jän.94;;Jan.94;;;;;;
199402;Feb.94;;Feb.94;;;;;;
199403;Mär.94;;Mar.94;;;;;;
199404;Apr.94;;Apr.94;;;;;;
199405;Mai.94;;May 94;;;;;;
199406;Jun.94;;Jun.94;;;;;;
199407;Jul.94;;Jul.94;;;;;;
199408;Aug.94;;Aug.94;;;;;;
199409;Sep.94;;Sep.94;;;;;;
199410;Okt.94;;Oct.94;;;;;;
199411;Nov.94;;Nov.94;;;;;;
199412;Dez.94;;Dec.94;;;;;;
199501;Jän.95;;Jan.95;;;;;;
199502;Feb.95;;Feb.95;;;;;;
199503;Mär.95;;Mar.95;;;;;;
199504;Apr.95;;Apr.95;;;;;;
199505;Mai.95;;May 95;;;;;;
199506;Jun.95;;Jun.95;;;;;;
199507;Jul.95;;Jul.95;;;;;;
199508;Aug.95;;Aug.95;;;;;;
199509;Sep.95;;Sep.95;;;;;;
199510;Okt.95;;Oct.95;;;;;;
199511;Nov.95;;Nov.95;;;;;;
199512;Dez.95;;Dec.95;;;;;;
199601;Jän.96;;Jan.96;;;;;;
199602;Feb.96;;Feb.96;;;;;;
199603;Mär.96;;Mar.96;;;;;;
199604;Apr.96;;Apr.96;;;;;;
199605;Mai.96;;May 96;;;;;;
199606;Jun.96;;Jun.96;;;;;;
199607;Jul.96;;Jul.96;;;;;;
199608;Aug.96;;Aug.96;;;;;;
199609;Sep.96;;Sep.96;;;;;;
199610;Okt.96;;Oct.96;;;;;;
199611;Nov.96;;Nov.96;;;;;;
199612;Dez.96;;Dec.96;;;;;;
199701;Jän.97;;Jan.97;;;;;;
199702;Feb.97;;Feb.97;;;;;;
199703;Mär.97;;Mar.97;;;;;;
199704;Apr.97;;Apr.97;;;;;;
199705;Mai.97;;May 97;;;;;;
199706;Jun.97;;Jun.97;;;;;;
199707;Jul.97;;Jul.97;;;;;;
199708;Aug.97;;Aug.97;;;;;;
199709;Sep.97;;Sep.97;;;;;;
199710;Okt.97;;Oct.97;;;;;;
199711;Nov.97;;Nov.97;;;;;;
199712;Dez.97;;Dec.97;;;;;;
199801;Jän.98;;Jan.98;;;;;;
199802;Feb.98;;Feb.98;;;;;;
199803;Mär.98;;Mar.98;;;;;;
199804;Apr.98;;Apr.98;;;;;;
199805;Mai.98;;May 98;;;;;;
199806;Jun.98;;Jun.98;;;;;;
199807;Jul.98;;Jul.98;;;;;;
199808;Aug.98;;Aug.98;;;;;;
199809;Sep.98;;Sep.98;;;;;;
199810;Okt.98;;Oct.98;;;;;;
199811;Nov.98;;Nov.98;;;;;;
199812;Dez.98;;Dec.98;;;;;;
199901;Jän.99;;Jan.99;;;;;;
199902;Feb.99;;Feb.99;;;;;;
199903;Mär.99;;Mar.99;;;;;;
199904;Apr.99;;Apr.99;;;;;;
199905;Mai.99;;May 99;;;;;;
199906;Jun.99;;Jun.99;;;;;;
199907;Jul.99;;Jul.99;;;;;;
199908;Aug.99;;Aug.99;;;;;;
199909;Sep.99;;Sep.99;;;;;;
199910;Okt.99;;Oct.99;;;;;;
199911;Nov.99;;Nov.99;;;;;;
199912;Dez.99;;Dec.99;;;;;;
200001;Jän.00;;Jan.00;;;;;;
200002;Feb.00;;Feb.00;;;;;;
200003;Mär.00;;Mar.00;;;;;;
200004;Apr.00;;Apr.00;;;;;;
200005;Mai.00;;May 00;;;;;;
200006;Jun.00;;Jun.00;;;;;;
200007;Jul.00;;Jul.00;;;;;;
200008;Aug.00;;Aug.00;;;;;;
200009;Sep.00;;Sep.00;;;;;;
200010;Okt.00;;Oct.00;;;;;;
200011;Nov.00;;Nov.00;;;;;;
200012;Dez.00;;Dec.00;;;;;;
200101;Jän.01;;Jan.01;;;;;;
200102;Feb.01;;Feb.01;;;;;;
200103;Mär.01;;Mar.01;;;;;;
200104;Apr.01;;Apr.01;;;;;;
200105;Mai.01;;May 01;;;;;;
200106;Jun.01;;Jun.01;;;;;;
200107;Jul.01;;Jul.01;;;;;;
200108;Aug.01;;Aug.01;;;;;;
200109;Sep.01;;Sep.01;;;;;;
200110;Okt.01;;Oct.01;;;;;;
200111;Nov.01;;Nov.01;;;;;;
200112;Dez.01;;Dec.01;;;;;;
200201;Jän.02;;Jan.02;;;;;;
200202;Feb.02;;Feb.02;;;;;;
200203;Mär.02;;Mar.02;;;;;;
200204;Apr.02;;Apr.02;;;;;;
200205;Mai.02;;May 02;;;;;;
200206;Jun.02;;Jun.02;;;;;;
200207;Jul.02;;Jul.02;;;;;;
200208;Aug.02;;Aug.02;;;;;;
200209;Sep.02;;Sep.02;;;;;;
200210;Okt.02;;Oct.02;;;;;;
200211;Nov.02;;Nov.02;;;;;;
200212;Dez.02;;Dec.02;;;;;;
200301;Jän.03;;Jan.03;;;;;;
200302;Feb.03;;Feb.03;;;;;;
200303;Mär.03;;Mar.03;;;;;;
200304;Apr.03;;Apr.03;;;;;;
200305;Mai.03;;May 03;;;;;;
200306;Jun.03;;Jun.03;;;;;;
