C-SDB_TIT-0;C-W96-0;C-SDB_BBTR-0;F-ANK;F-UEB
197312;W96-6;83;1068;3840
197312;W96-6;84;1559;10638
197312;W96-6;60;22705;152255
197312;W96-6;75;114;4255
197312;W96-6;74;430;3359
197312;W96-6;998;653;5732
197312;W96-6;999;707;2932
197312;W96-7;01;30964;176597
197312;W96-7;02;40400;256362
197312;W96-7;03;104539;687775
197312;W96-7;70;2257;19164
197312;W96-7;81;1281;5551
197312;W96-7;73;784;5481
197312;W96-7;71;60;540
197312;W96-7;83;335;3195
197312;W96-7;84;933;8304
197312;W96-7;60;85565;559764
197312;W96-7;75;284;3504
197312;W96-7;74;151;645
197312;W96-7;998;3222;18986
197312;W96-7;999;1081;8796
197312;W96-8;01;12113;73141
197312;W96-8;02;12048;70138
197312;W96-8;03;20173;127119
197312;W96-8;70;1328;11313
197312;W96-8;81;742;4006
197312;W96-8;73;826;6652
197312;W96-8;83;40;115
197312;W96-8;84;1163;6238
197312;W96-8;60;26056;163867
197312;W96-8;75;110;3985
197312;W96-8;74;89;548
197312;W96-8;998;674;2057
197312;W96-8;999;1682;10136
197312;W96-9;01;27887;73024
197312;W96-9;02;16021;48137
197312;W96-9;03;12271;43431
197312;W96-9;70;32;85
197312;W96-9;81;2544;11614
197312;W96-9;84;160;539
197312;W96-9;75;63;376
197401;W96-1;01;148;991
197401;W96-1;02;1338;7048
197401;W96-1;03;1190;3370
197401;W96-1;81;235;618
197401;W96-1;71;324;6174
197401;W96-1;84;265;448
197401;W96-1;60;109;561
197401;W96-1;72;135;1814
197401;W96-1;74;123;3180
197401;W96-1;998;172;217
197401;W96-1;999;1;13
197401;W96-2;01;10502;65162
197401;W96-2;02;8047;51332
197401;W96-2;03;13658;84786
197401;W96-2;70;0;44
197401;W96-2;81;513;2135
197401;W96-2;73;737;3800
197401;W96-2;83;225;1308
197401;W96-2;84;1352;16671
197401;W96-2;60;2334;29839
197401;W96-2;74;10;62
197401;W96-2;998;7;54
197401;W96-2;999;77;324
197401;W96-3;01;2867;11847
197401;W96-3;02;7015;34412
197401;W96-3;03;21147;110194
197401;W96-3;70;139;277
197401;W96-3;81;479;2714
197401;W96-3;73;333;3766
197401;W96-3;71;1309;16685
197401;W96-3;83;656;1117
197401;W96-3;84;898;5906
197401;W96-3;60;4974;31569
197401;W96-3;75;256;8208
197401;W96-3;74;2569;35188
197401;W96-3;998;417;1275
197401;W96-3;999;500;2981
197401;W96-4;01;7827;27386
197401;W96-4;02;11155;37924
197401;W96-4;03;16499;85067
197401;W96-4;70;0;16
197401;W96-4;81;1678;8451
197401;W96-4;73;928;8478
197401;W96-4;71;1796;21152
197401;W96-4;83;539;1764
197401;W96-4;84;941;5880
197401;W96-4;60;4497;34632
197401;W96-4;75;176;6696
197401;W96-4;72;94;1494
197401;W96-4;74;677;7183
197401;W96-4;998;775;5364
197401;W96-4;999;673;4436
197401;W96-5;01;19642;120709
197401;W96-5;02;47065;336212
197401;W96-5;03;48007;335518
197401;W96-5;70;33;615
197401;W96-5;81;4404;27903
197401;W96-5;73;21483;149062
197401;W96-5;71;1439;13862
197401;W96-5;83;671;4267
197401;W96-5;84;1932;19497
197401;W96-5;60;24841;218719
197401;W96-5;72;173;2595
197401;W96-5;74;242;2280
197401;W96-5;998;6721;47062
197401;W96-5;999;5567;40888
197401;W96-6;01;10748;28805
197401;W96-6;02;12962;63903
197401;W96-6;03;34604;202796
197401;W96-6;70;14;112
197401;W96-6;81;3091;17660
197401;W96-6;73;1214;11208
197401;W96-6;71;300;5905
197401;W96-6;83;1762;6204
